time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1737	1.32344	5.1849	0.207688	0.165719	radar	4.88467	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3998	1.40663	5.15678	0.230074	0.18212	lidar	1.37757	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6347	1.48752	5.08833	0.251239	0.19805	radar	4.33094	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8614	1.52499	5.05999	0.250717	0.186636	lidar	1.1822	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1256	1.57535	5.09096	0.252327	0.177078	radar	1.73306	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4032	1.62664	5.12522	0.252995	0.167238	lidar	1.77345	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6358	1.68357	5.08538	0.259801	0.166498	radar	0.933417	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8663	1.75147	5.06852	0.270072	0.168942	lidar	0.398246	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1207	1.83848	5.11074	0.284491	0.174508	radar	1.39417	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3629	1.87314	5.09589	0.277084	0.156229	lidar	0.585058	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6174	1.93368	5.12973	0.278472	0.147566	radar	0.943316	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8187	2.06642	5.09792	0.316593	0.183024	lidar	3.54702	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0831	2.17012	5.1717	0.331141	0.186412	radar	3.6431	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2867	2.31091	5.14552	0.368523	0.218711	lidar	2.76961	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.471	2.45129	5.05464	0.409042	0.256931	radar	11.1467	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.719	2.57048	5.08164	0.427094	0.262506	lidar	0.870117	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9396	2.68207	5.0631	0.44448	0.268504	radar	0.258653	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1674	2.83705	5.08491	0.476467	0.2892	lidar	0.781951	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4156	2.9449	5.13754	0.47974	0.272299	radar	1.46417	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.622	3.02416	5.0931	0.47973	0.257628	lidar	2.10606	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8525	3.17309	5.14064	0.501389	0.264317	radar	3.96822	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0591	3.3649	5.16004	0.544418	0.297558	lidar	1.38956	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2715	3.52772	5.15169	0.573906	0.316513	radar	2.61559	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.484	3.71644	5.17917	0.608777	0.337402	lidar	0.869497	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6961	3.85015	5.16865	0.61934	0.330665	radar	0.898445	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9164	3.99761	5.17765	0.632099	0.326289	lidar	0.196518	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1133	4.16055	5.14287	0.658468	0.343143	radar	1.81436	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3105	4.35632	5.1658	0.690249	0.359004	lidar	0.509554	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5204	4.51937	5.17987	0.703702	0.352938	radar	0.627759	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6987	4.69069	5.16473	0.725872	0.358239	lidar	0.484082	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8539	4.88457	5.09238	0.769896	0.400051	radar	4.8577	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0192	5.10895	5.11663	0.809329	0.421087	lidar	0.710393	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1889	5.28177	5.087	0.829685	0.424208	radar	1.79146	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.349	5.4652	5.07339	0.851231	0.424866	lidar	0.229666	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5047	5.63868	5.03068	0.872759	0.430643	radar	3.37864	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6979	5.76703	4.99572	0.864402	0.398605	lidar	1.7874	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8407	5.96694	4.96383	0.897829	0.421017	radar	1.33001	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0156	6.15591	4.97528	0.910747	0.411886	lidar	0.660028	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1639	6.36459	4.9822	0.935862	0.417483	radar	0.667439	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2868	6.59832	4.99819	0.972559	0.434455	lidar	0.55638	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4177	6.81325	4.99196	1.00099	0.444752	radar	0.302098	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.566	6.95482	4.92789	0.998635	0.419276	lidar	2.29757	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7135	7.16204	4.95112	1.01038	0.404287	radar	0.542695	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9095	7.30307	4.91817	0.991359	0.36243	lidar	4.15012	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9972	7.51147	4.86115	1.03198	0.397374	radar	4.28518	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0904	7.76667	4.89412	1.07295	0.419656	lidar	1.03079	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2098	7.97606	4.8924	1.08965	0.413908	radar	0.290142	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2903	8.18991	4.86991	1.11901	0.423564	lidar	1.5053	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3882	8.40251	4.8677	1.13672	0.415607	radar	2.3167	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4832	8.55419	4.78175	1.14257	0.401091	lidar	4.32843	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5729	8.76619	4.76208	1.16657	0.409158	radar	0.647459	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7341	8.93954	4.74098	1.15311	0.373459	lidar	4.28108	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8064	9.16381	4.72264	1.18645	0.396236	radar	1.04073	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9375	9.38419	4.74448	1.19098	0.379722	lidar	2.84213	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9824	9.6091	4.70524	1.23485	0.418481	radar	2.87044	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0713	9.84363	4.72582	1.25328	0.41555	lidar	0.60446	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1311	10.0911	4.75657	1.27951	0.417215	radar	7.0117	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1809	10.3568	4.7979	1.31304	0.429908	lidar	0.763036	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1975	10.593	4.77025	1.35912	0.466707	radar	3.14118	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2573	10.861	4.81839	1.38368	0.467136	lidar	1.86617	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2863	11.1152	4.83995	1.41289	0.47092	radar	4.8656	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3208	11.3533	4.83843	1.4365	0.471016	lidar	0.00231048	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2686	11.6014	4.801	1.50976	0.545903	radar	11.3222	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.34	11.8424	4.81326	1.51495	0.522835	lidar	4.52037	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3642	12.0766	4.82359	1.52351	0.489974	radar	3.46648	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3525	12.3591	4.87725	1.5596	0.500528	lidar	1.14898	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3036	12.5979	4.84876	1.6162	0.551099	radar	3.57903	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.328	12.8386	4.84851	1.62923	0.536318	lidar	1.70409	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3145	13.0708	4.83247	1.65691	0.541363	radar	2.13298	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2791	13.2868	4.80004	1.68691	0.545176	lidar	1.10828	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2397	13.5215	4.79875	1.71483	0.542913	radar	1.28604	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2196	13.7786	4.82439	1.73608	0.536291	lidar	1.21987	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1633	14.0068	4.80944	1.77284	0.553502	radar	0.948383	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1087	14.2603	4.83556	1.80177	0.554083	lidar	0.331493	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0365	14.4891	4.83109	1.83417	0.55854	radar	1.41869	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9293	14.7412	4.86844	1.87667	0.57219	lidar	1.32166	19.781	14.773	19.934	14.6897	-1.30687	4.62805
